product_id,product_name,category,city_name,date,units_sold
SKU7,Tooth & Gum Cleaning Finger Baby Toothbrush(Pack),Oral & Nasal Care,delhi,8/4/2025,5
SKU3,Nail Clipper(Pack),Hygiene,hyderabad,8/8/2025,8
SKU5,Anti-Bacterial Baby Liquid Cleanser,Hygiene,delhi,9/24/2025,23
SKU6,Mild Baby Laundry Detergent Refill(Pack),Hygiene,chennai,9/22/2025,6
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet),Baby Wipes,chennai,8/4/2025,28
SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,bangalore,9/20/2025,13
SKU7,Tooth & Gum Cleaning Finger Baby Toothbrush(Pack),Oral & Nasal Care,delhi,9/20/2025,19
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet),Baby Wipes,delhi,8/10/2025,104
SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,mumbai,8/23/2025,22
SKU2,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet),Baby Wipes,bangalore,9/25/2025,18
SKU6,Mild Baby Laundry Detergent Refill(Pack),Hygiene,mumbai,8/15/2025,15
SKU5,Anti-Bacterial Baby Liquid Cleanser,Hygiene,delhi,8/12/2025,32
SKU5,Anti-Bacterial Baby Liquid Cleanser,Hygiene,mumbai,9/22/2025,20
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet),Baby Wipes,hyderabad,8/12/2025,60
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet),Baby Wipes,chennai,8/12/2025,19
SKU10,Mild Baby Laundry Detergent(Bottle),Hygiene,hyderabad,7/29/2025,14
SKU6,Mild Baby Laundry Detergent Refill(Pack),Hygiene,bangalore,7/29/2025,17
SKU2,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet),Baby Wipes,delhi,8/31/2025,45
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet),Baby Wipes,delhi,8/14/2025,106
SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet),Baby Wipes,chennai,9/15/2025,11
