product_id,product_name,category,city_name,stock
SKU10,Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,Hygiene,Mumbai,219
SKU10,Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,Hygiene,Bangalore,215
SKU10,Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,Hygiene,Hyderabad,131
SKU4,Baby Bottle & Nipple Brush(Box) 1 piece - Rs 199.0,Feeding Essentials,Delhi,84
SKU3,Baby Nail Clipper(Pack) 1 unit - Rs 229,Hygiene,Hyderabad,395
SKU4,Baby Bottle & Nipple Brush(Box) 1 piece - Rs 199.0,Feeding Essentials,Chennai,194
SKU5,Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,Hygiene,Hyderabad,317
SKU6,Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,Hygiene,Mumbai,401
SKU5,Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,Hygiene,Chennai,136
SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,Hygiene,Delhi,57
SKU10,Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,Hygiene,Delhi,88
SKU4,Baby Bottle & Nipple Brush(Box) 1 piece - Rs 199.0,Feeding Essentials,Hyderabad,503
SKU3,Baby Nail Clipper(Pack) 1 unit - Rs 229,Hygiene,Delhi,161
SKU5,Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,Hygiene,Bangalore,419
SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,Baby Wipes,Delhi,16
SKU2,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,Baby Wipes,Bangalore,399
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,Baby Wipes,Bangalore,911
SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,Hygiene,Bangalore,267
SKU7,Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 85.0,Oral & Nasal Care,Delhi,140
SKU3,Baby Nail Clipper(Pack) 1 unit - Rs 229,Hygiene,Chennai,306
SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,Hygiene,Hyderabad,154
SKU5,Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,Hygiene,Mumbai,347
SKU3,Baby Nail Clipper(Pack) 1 unit - Rs 229,Hygiene,Mumbai,632
SKU6,Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,Hygiene,Bangalore,344
SKU7,Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 85.0,Oral & Nasal Care,Chennai,154
SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,Baby Wipes,Bangalore,178
SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,Baby Wipes,Hyderabad,219
SKU6,Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,Hygiene,Hyderabad,149
SKU4,Baby Bottle & Nipple Brush(Box) 1 piece - Rs 199.0,Feeding Essentials,Bangalore,476
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,Baby Wipes,Mumbai,1020
SKU4,Baby Bottle & Nipple Brush(Box) 1 piece - Rs 199.0,Feeding Essentials,Mumbai,561
SKU7,Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 85.0,Oral & Nasal Care,Mumbai,107
SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,Hygiene,Mumbai,318
SKU3,Baby Nail Clipper(Pack) 1 unit - Rs 229,Hygiene,Bangalore,495
SKU2,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,Baby Wipes,Chennai,0
SKU6,Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,Hygiene,Chennai,77
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,Baby Wipes,Chennai,303
SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,Baby Wipes,Mumbai,348
